PassengerId,Survived,Pclass,Gender,Age,SibSp,Parch,Embarked
2,1,1,female,38,1,0,C
4,1,1,female,35,1,0,S
7,0,1,male,54,0,0,S
12,1,1,female,58,0,0,S
24,1,1,male,28,0,0,S
28,0,1,male,19,3,2,S
31,0,1,male,40,0,0,C
32,1,1,female,,1,0,C
35,0,1,male,28,1,0,C
36,0,1,male,42,1,0,S
53,1,1,female,49,1,0,C
55,0,1,male,65,0,1,C
56,1,1,male,,0,0,S
62,1,1,female,38,0,0,
63,0,1,male,45,1,0,S
65,0,1,male,,0,0,C
84,0,1,male,28,0,0,S
89,1,1,female,23,3,2,S
93,0,1,male,46,1,0,S
97,0,1,male,71,0,0,C
98,1,1,male,23,0,1,C
103,0,1,male,21,0,1,S
111,0,1,male,47,0,0,S
119,0,1,male,24,0,1,C
125,0,1,male,54,0,1,S
137,1,1,female,19,0,2,S
138,0,1,male,37,1,0,S
140,0,1,male,24,0,0,C
152,1,1,female,22,1,0,S
156,0,1,male,51,0,1,C
167,1,1,female,,0,1,S
169,0,1,male,,0,0,S
171,0,1,male,61,0,0,S
175,0,1,male,56,0,0,C
178,0,1,female,50,0,0,C
186,0,1,male,,0,0,S
188,1,1,male,45,0,0,S
195,1,1,female,44,0,0,C
196,1,1,female,58,0,0,C
210,1,1,male,40,0,0,C
216,1,1,female,31,1,0,C
219,1,1,female,32,0,0,C
225,1,1,male,38,1,0,S
231,1,1,female,35,1,0,S
246,0,1,male,44,2,0,Q
249,1,1,male,37,1,1,S
253,0,1,male,62,0,0,S
257,1,1,female,,0,0,C
258,1,1,female,30,0,0,S
259,1,1,female,35,0,0,C
263,0,1,male,52,1,1,S
264,0,1,male,40,0,0,S
269,1,1,female,58,0,1,S
270,1,1,female,35,0,0,S
271,0,1,male,,0,0,S
274,0,1,male,37,0,1,C
276,1,1,female,63,1,0,S
285,0,1,male,,0,0,S
291,1,1,female,26,0,0,S
292,1,1,female,19,1,0,C
296,0,1,male,,0,0,C
298,0,1,female,2,1,2,S
299,1,1,male,,0,0,S
300,1,1,female,50,0,1,C
306,1,1,male,0.92,1,2,S
307,1,1,female,,0,0,C
308,1,1,female,17,1,0,C
310,1,1,female,30,0,0,C
311,1,1,female,24,0,0,C
312,1,1,female,18,2,2,C
319,1,1,female,31,0,2,S
320,1,1,female,40,1,1,C
326,1,1,female,36,0,0,C
330,1,1,female,16,0,1,C
332,0,1,male,45.5,0,0,S
333,0,1,male,38,0,1,S
335,1,1,female,,1,0,S
337,0,1,male,29,1,0,S
338,1,1,female,41,0,0,C
340,0,1,male,45,0,0,S
342,1,1,female,24,3,2,S
352,0,1,male,,0,0,S
357,1,1,female,22,0,1,S
367,1,1,female,60,1,0,C
370,1,1,female,24,0,0,C
371,1,1,male,25,1,0,C
374,0,1,male,22,0,0,C
376,1,1,female,,1,0,C
378,0,1,male,27,0,2,C
381,1,1,female,42,0,0,C
384,1,1,female,35,1,0,S
391,1,1,male,36,1,2,S
394,1,1,female,23,1,0,C
413,1,1,female,33,1,0,Q
431,1,1,male,28,0,0,S
435,0,1,male,50,1,0,S
436,1,1,female,14,1,2,S
439,0,1,male,64,1,4,S
446,1,1,male,4,0,2,S
448,1,1,male,34,0,0,S
450,1,1,male,52,0,0,S
453,0,1,male,30,0,0,C
454,1,1,male,49,1,0,C
457,0,1,male,65,0,0,S
458,1,1,female,,1,0,S
461,1,1,male,48,0,0,S
463,0,1,male,47,0,0,S
468,0,1,male,56,0,0,S
476,0,1,male,,0,0,S
485,1,1,male,25,1,0,C
487,1,1,female,35,1,0,S
488,0,1,male,58,0,0,C
493,0,1,male,55,0,0,S
494,0,1,male,71,0,0,C
497,1,1,female,54,1,0,C
499,0,1,female,25,1,2,S
505,1,1,female,16,0,0,S
506,0,1,male,18,1,0,C
508,1,1,male,,0,0,S
513,1,1,male,36,0,0,S
514,1,1,female,54,1,0,C
516,0,1,male,47,0,0,S
521,1,1,female,30,0,0,S
